,results_name,ranking_name,match_type,최종_매핑명
32,Azerbaijan,Azerbaijan,자동 (정확 일치),Azerbaijan
33,Bahamas,Bahamas,자동 (정확 일치),Bahamas
34,Bahrain,Bahrain,자동 (정확 일치),Bahrain
35,Bangladesh,Bangladesh,자동 (정확 일치),Bangladesh
36,Barbados,Barbados,자동 (정확 일치),Barbados
37,Belarus,Belarus,자동 (정확 일치),Belarus
38,Belgium,Belgium,자동 (정확 일치),Belgium
39,Belize,Belize,자동 (정확 일치),Belize
40,Benin,Benin,자동 (정확 일치),Benin
41,Bermuda,Bermuda,자동 (정확 일치),Bermuda
42,Bhutan,Bhutan,자동 (정확 일치),Bhutan
43,Bolivia,Bolivia,자동 (정확 일치),Bolivia
44,Bosnia and Herzegovina,Bosnia and Herzegovina,자동 (정확 일치),Bosnia and Herzegovina
45,Botswana,Botswana,자동 (정확 일치),Botswana
46,Brazil,Brazil,자동 (정확 일치),Brazil
47,British Virgin Islands,British Virgin Islands,자동 (정확 일치),British Virgin Islands
48,Bulgaria,Bulgaria,자동 (정확 일치),Bulgaria
49,Burkina Faso,Burkina Faso,자동 (정확 일치),Burkina Faso
50,Burundi,Burundi,자동 (정확 일치),Burundi
51,Cambodia,Cambodia,자동 (정확 일치),Cambodia
52,Cameroon,Cameroon,자동 (정확 일치),Cameroon
53,Canada,Canada,자동 (정확 일치),Canada
54,Cayman Islands,Cayman Islands,자동 (정확 일치),Cayman Islands
55,Central African Republic,Central African Republic,자동 (정확 일치),Central African Republic
56,Chad,Chad,자동 (정확 일치),Chad
57,Chile,Chile,자동 (정확 일치),Chile
58,Colombia,Colombia,자동 (정확 일치),Colombia
59,Comoros,Comoros,자동 (정확 일치),Comoros
60,Congo,Congo,자동 (정확 일치),Congo
61,Cook Islands,Cook Islands,자동 (정확 일치),Cook Islands
62,Costa Rica,Costa Rica,자동 (정확 일치),Costa Rica
63,Croatia,Croatia,자동 (정확 일치),Croatia
64,Cuba,Cuba,자동 (정확 일치),Cuba
65,Curaçao,Curaçao,자동 (정확 일치),Curaçao
66,Cyprus,Cyprus,자동 (정확 일치),Cyprus
67,Czech Republic,Czech Republic,자동 (정확 일치),Czech Republic
68,Czechoslovakia,Czechoslovakia,자동 (정확 일치),Czechoslovakia
69,Denmark,Denmark,자동 (정확 일치),Denmark
70,Djibouti,Djibouti,자동 (정확 일치),Djibouti
71,Dominica,Dominica,자동 (정확 일치),Dominica
72,Dominican Republic,Dominican Republic,자동 (정확 일치),Dominican Republic
73,Ecuador,Ecuador,자동 (정확 일치),Ecuador
74,Egypt,Egypt,자동 (정확 일치),Egypt
75,El Salvador,El Salvador,자동 (정확 일치),El Salvador
76,England,England,자동 (정확 일치),England
77,Equatorial Guinea,Equatorial Guinea,자동 (정확 일치),Equatorial Guinea
78,Eritrea,Eritrea,자동 (정확 일치),Eritrea
79,Estonia,Estonia,자동 (정확 일치),Estonia
80,Eswatini,Eswatini,자동 (정확 일치),Eswatini
81,Ethiopia,Ethiopia,자동 (정확 일치),Ethiopia
82,Faroe Islands,Faroe Islands,자동 (정확 일치),Faroe Islands
83,Fiji,Fiji,자동 (정확 일치),Fiji
84,Finland,Finland,자동 (정확 일치),Finland
85,France,France,자동 (정확 일치),France
86,Gabon,Gabon,자동 (정확 일치),Gabon
87,Gambia,Gambia,자동 (정확 일치),Gambia
88,Georgia,Georgia,자동 (정확 일치),Georgia
89,Germany,Germany,자동 (정확 일치),Germany
90,Ghana,Ghana,자동 (정확 일치),Ghana
91,Gibraltar,Gibraltar,자동 (정확 일치),Gibraltar
92,Greece,Greece,자동 (정확 일치),Greece
93,Grenada,Grenada,자동 (정확 일치),Grenada
94,Guam,Guam,자동 (정확 일치),Guam
95,Guatemala,Guatemala,자동 (정확 일치),Guatemala
96,Guinea,Guinea,자동 (정확 일치),Guinea
97,Guinea-Bissau,Guinea-Bissau,자동 (정확 일치),Guinea-Bissau
98,Guyana,Guyana,자동 (정확 일치),Guyana
99,Haiti,Haiti,자동 (정확 일치),Haiti
100,Honduras,Honduras,자동 (정확 일치),Honduras
101,Hong Kong,Hong Kong,자동 (정확 일치),Hong Kong
102,Hungary,Hungary,자동 (정확 일치),Hungary
103,Iceland,Iceland,자동 (정확 일치),Iceland
104,India,India,자동 (정확 일치),India
105,Indonesia,Indonesia,자동 (정확 일치),Indonesia
106,Iraq,Iraq,자동 (정확 일치),Iraq
107,Israel,Israel,자동 (정확 일치),Israel
108,Italy,Italy,자동 (정확 일치),Italy
109,Jamaica,Jamaica,자동 (정확 일치),Jamaica
110,Japan,Japan,자동 (정확 일치),Japan
111,Jordan,Jordan,자동 (정확 일치),Jordan
112,Kazakhstan,Kazakhstan,자동 (정확 일치),Kazakhstan
113,Kenya,Kenya,자동 (정확 일치),Kenya
114,Kosovo,Kosovo,자동 (정확 일치),Kosovo
115,Kuwait,Kuwait,자동 (정확 일치),Kuwait
116,Laos,Laos,자동 (정확 일치),Laos
117,Latvia,Latvia,자동 (정확 일치),Latvia
118,Lebanon,Lebanon,자동 (정확 일치),Lebanon
119,Lesotho,Lesotho,자동 (정확 일치),Lesotho
120,Liberia,Liberia,자동 (정확 일치),Liberia
121,Libya,Libya,자동 (정확 일치),Libya
